population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,1991,178276.94969230448,217721.12865991544,143669.24371569147
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,1990,168732.60067872188,206975.44479072225,136626.65938410233
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,1993,199002.20656148373,241478.23542218257,161174.24110569386
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,1992,188353.31608678857,229149.6445704862,151758.18768520985
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,1995,221567.54781622783,268468.76682819065,181117.1052449908
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,1994,210147.87096446333,254787.89150981724,171019.40156557152
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,1996,234259.91132035185,283350.57508827664,192160.8466377229
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,1997,248541.13396478872,300141.2947498364,204423.6255582865
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,1998,263874.7469395876,318208.9610849634,217418.59152816373
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,1999,279790.5531297141,336999.25227125303,230554.6608333545
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2000,295519.092088234,355638.2980249088,243506.56561794036
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2001,311427.6275661718,375342.58036166,256760.507927699
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2003,344665.93913997145,417031.7984195753,284291.0832273463
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2004,361589.6066408357,438309.4559523453,298135.06823842914
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2002,327891.1060982263,395987.3045181841,270436.17028212734
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2005,378294.89020034735,459276.4196155012,311703.36350719794
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2006,395208.3449827782,479870.81646715134,325329.6812663412
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2008,429631.46936420246,522031.198508566,353112.54576545383
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2007,412213.5555295735,500663.4104669706,339040.37488506694
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2009,447932.4908560403,544009.135816961,367938.1179310616
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2010,466987.48013899184,566682.9446986901,383442.1946175138
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2013,538268.74730724,656208.2138449341,442322.3087884679
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2012,513142.7253535354,622575.5434624145,422712.95897147816
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2011,488820.9923521482,592139.0112530021,402745.2234114074
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2016,603936.6767920952,736174.8700697899,493740.7179064882
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2018,639403.9044790613,781775.0537264149,522808.9541567141
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2014,562569.7995636888,686166.8340420367,460934.72764948686
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2015,584145.0573765043,713077.3421761956,476943.6005315169
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2017,621828.9270637073,758364.660132913,508466.1613402689
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2023,778880.7830310719,955613.2860340076,638867.4771561611
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2019,658512.9611562579,801615.6075523999,538521.2095869323
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2022,746950.2972520513,918458.954282328,611290.6393564503
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2021,710314.5240121699,868124.1233520362,582060.4288858585
1,All Population,5,Prevalence,163,India,3,Both,22,All ages,544,Parkinson's disease,1,Number,2020,678887.4146702489,827221.0914637211,555750.8607427434
